OBJECTID,unitid,unitloc,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,poststatus,GlobalID,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y
104,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F515E01F-47A7-4B4F-8722-4E3EF744FFE6},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
105,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{8B480054-0090-4279-84F4-E75AE3711ED8},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.004535198,4.192516361,-13704219.92,6321848.521
106,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{AEEF21B2-786D-4116-87B2-106952EA3D1D},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
107,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{A406FE0C-BEAE-42E9-B08B-19F7E4C7BBCB},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.323612213,4.323612213,-13704522.23,6321854.385
108,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{CD733DDB-BFB1-482E-8279-9E0399BDC1AF},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
109,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{D63C1ED3-6DF7-48DB-B87D-5779D7018451},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,6321908.0549,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.595128059,4.508930683,-13704325.53,6321908.055
110,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{9409BEE4-DF9F-4139-BE51-9687DFB70E6B},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,6321910.7417,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
111,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{E282D7C4-F8FE-46CB-8452-21CBB568D810},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,6321843.6616,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.684360504,4.769339085,-13704264.34,6321843.662
112,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{4FAAE82A-B63E-4832-9C7E-3450ED969B7C},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,6321861.055,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
113,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{CF539A2C-2DF7-473A-BAD2-BC1DAB9103E4},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,6321903.3159,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
114,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F16EE0FE-340F-4F23-936C-770523F9258E},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,6321849.6722,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.004535198,4.192516361,-13704206.37,6321849.672
115,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{C54C580C-0B19-4396-B739-572A9F549E36},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,6321856.0598,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
116,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{7B314850-21DF-4165-95B4-59496D5DE533},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,6321854.3846,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.323612213,4.323612213,-13704522.23,6321854.385
117,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{B48E83D3-1F20-48BA-B412-DB7FD14BB677},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,6321987.0818,2026-06-11 17:01:00,2026-06-11 17:02:00,11/06/2026 5:01:00 PM,11/06/2026 5:02:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
